[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
[sound:s8-1150_財政投融資の政策が提案された。.mp3]	<b>(財政投融資)</b> <br> 財政投融資の政策が提案された。<br> ざいせいとうゆうしのせいさくがていあんされた。 <br> A policy of fiscal investment and loan was proposed.			
<b>(財政投融資)</b> <br> 財政投融資の政策が提案された。	[sound:s8-1150_財政投融資の政策が提案された。.mp3] <br> ざいせいとうゆうしのせいさくがていあんされた。 <br> A policy of fiscal investment and loan was proposed.			
[sound:k8-1151_推す.mp3]	推す <br> おす <br> to infer, to conclude, to support
to infer, to conclude, to support	推す <br> おす <br> [sound:k8-1151_推す.mp3]
推す	[sound:k8-1151_推す.mp3] <br> おす <br> to infer, to conclude, to support
[sound:s8-1151_彼はお金を貸してくれる人を探している。.mp3]	<b>(融通)</b> <br> 彼はお金を貸してくれる人を探している。<br> かれはおかねをかしてくれるひとをさがしている。 <br> He is looking for someone to lend him money.			
<b>(融通)</b> <br> 彼はお金を貸してくれる人を探している。	[sound:s8-1151_彼はお金を貸してくれる人を探している。.mp3] <br> かれはおかねをかしてくれるひとをさがしている。 <br> He is looking for someone to lend him money.			
[sound:k8-1152_推理.mp3]	推理 <br> すいり <br> reasoning, inference, mystery or detective genre (movie, novel, etc.)
reasoning, inference, mystery or detective genre (movie, novel, etc.)	推理 <br> すいり <br> [sound:k8-1152_推理.mp3]
推理	[sound:k8-1152_推理.mp3] <br> すいり <br> reasoning, inference, mystery or detective genre (movie, novel, etc.)
[sound:s8-1152_その会議で様々な意見が融合された。.mp3]	<b>(融合)</b> <br> その会議で様々な意見が融合された。<br> そのかいぎでさまざまないけんがゆうごうされた。 <br> Various opinions were merged at the meeting.			
<b>(融合)</b> <br> その会議で様々な意見が融合された。	[sound:s8-1152_その会議で様々な意見が融合された。.mp3] <br> そのかいぎでさまざまないけんがゆうごうされた。 <br> Various opinions were merged at the meeting.			
[sound:k8-1153_推奨.mp3]	推奨 <br> すいしょう <br> recommendation, endorsement
recommendation, endorsement	推奨 <br> すいしょう <br> [sound:k8-1153_推奨.mp3]
推奨	[sound:k8-1153_推奨.mp3] <br> すいしょう <br> recommendation, endorsement
[sound:s8-1153_核融合は太陽のエネルギー源です。.mp3]	<b>(核融合)</b> <br> 核融合は太陽のエネルギー源です。<br> かくゆうごうはたいようのエネルギーげんです。 <br> Nuclear fusion is the energy source of the sun.			
<b>(核融合)</b> <br> 核融合は太陽のエネルギー源です。	[sound:s8-1153_核融合は太陽のエネルギー源です。.mp3] <br> かくゆうごうはたいようのエネルギーげんです。 <br> Nuclear fusion is the energy source of the sun.			
[sound:k8-1154_推測.mp3]	推測 <br> すいそく <br> guess, conjecture
guess, conjecture	推測 <br> すいそく <br> [sound:k8-1154_推測.mp3]
推測	[sound:k8-1154_推測.mp3] <br> すいそく <br> guess, conjecture
[sound:s8-1154_その製品は新しい型のものだ。.mp3]	<b>(型)</b> <br> その製品は新しい型のものだ。<br> そのせいひんはあたらしいかたのものだ。 <br> The product is of a new type.			
<b>(型)</b> <br> その製品は新しい型のものだ。	[sound:s8-1154_その製品は新しい型のものだ。.mp3] <br> そのせいひんはあたらしいかたのものだ。 <br> The product is of a new type.			
[sound:k8-1155_推理小説.mp3]	推理小説 <br> すいりしょうせつ <br> mystery or detective novel
mystery or detective novel	推理小説 <br> すいりしょうせつ <br> [sound:k8-1155_推理小説.mp3]
推理小説	[sound:k8-1155_推理小説.mp3] <br> すいりしょうせつ <br> mystery or detective novel
[sound:s8-1155_彼は新しいビジネスモデルを提案した。.mp3]	<b>(型)</b> <br> 彼は新しいビジネスモデルを提案した。<br> かれはあたらしいびじねすもでるをていあんした。 <br> He proposed a new business model.			
<b>(型)</b> <br> 彼は新しいビジネスモデルを提案した。	[sound:s8-1155_彼は新しいビジネスモデルを提案した。.mp3] <br> かれはあたらしいびじねすもでるをていあんした。 <br> He proposed a new business model.			
[sound:k8-1156_谷.mp3]	谷 <br> (kun: たに, きわ.まる; on: コク) <br> valley
valley	谷 <br> (kun: たに, きわ.まる; on: コク) <br> [sound:k8-1156_谷.mp3]
谷	[sound:k8-1156_谷.mp3] <br> (kun: たに, きわ.まる; on: コク) <br> valley
[sound:s8-1156_その大型バスはたくさんの人を乗せることができる。.mp3]	<b>(大型)</b> <br> その大型バスはたくさんの人を乗せることができる。<br> そのおおがたばすはたくさんのひとをのせることができる。 <br> The large bus can carry many people.			
<b>(大型)</b> <br> その大型バスはたくさんの人を乗せることができる。	[sound:s8-1156_その大型バスはたくさんの人を乗せることができる。.mp3] <br> そのおおがたばすはたくさんのひとをのせることができる。 <br> The large bus can carry many people.			
[sound:k8-1157_谷.mp3]	谷 <br> たに <br> valley
valley	谷 <br> たに <br> [sound:k8-1157_谷.mp3]
谷	[sound:k8-1157_谷.mp3] <br> たに <br> valley
[sound:s8-1157_その小型カメラは携帯性が高い。.mp3]	<b>(小型)</b> <br> その小型カメラは携帯性が高い。<br> そのしょうがたかめらはけいたいせいがたかい。 <br> The small camera is highly portable.			
<b>(小型)</b> <br> その小型カメラは携帯性が高い。	[sound:s8-1157_その小型カメラは携帯性が高い。.mp3] <br> そのしょうがたかめらはけいたいせいがたかい。 <br> The small camera is highly portable.			
[sound:k8-1158_谷川.mp3]	谷川 <br> たにがわ <br> mountain stream
mountain stream	谷川 <br> たにがわ <br> [sound:k8-1158_谷川.mp3]
谷川	[sound:k8-1158_谷川.mp3] <br> たにがわ <br> mountain stream
[sound:s8-1158_新型ウイルスの感染が拡大している。.mp3]	<b>(新型)</b> <br> 新型ウイルスの感染が拡大している。<br> しんがたういるすのかんせんがかくだいしている。 <br> Infections with the new virus are spreading.			
<b>(新型)</b> <br> 新型ウイルスの感染が拡大している。	[sound:s8-1158_新型ウイルスの感染が拡大している。.mp3] <br> しんがたういるすのかんせんがかくだいしている。 <br> Infections with the new virus are spreading.			
[sound:k8-1159_谷間.mp3]	谷間 <br> たにま, たにあい <br> valley, ravine, chasm, dell; cleavage
valley, ravine, chasm, dell; cleavage	谷間 <br> たにま, たにあい <br> [sound:k8-1159_谷間.mp3]
谷間	[sound:k8-1159_谷間.mp3] <br> たにま, たにあい <br> valley, ravine, chasm, dell; cleavage
[sound:s8-1159_彼は日本の典型的なサラリーマンだ。.mp3]	<b>(典型)</b> <br> 彼は日本の典型的なサラリーマンだ。<br> かれはにほんのてんけいてきなさらりーまんだ。 <br> He is a typical Japanese salaryman.			
<b>(典型)</b> <br> 彼は日本の典型的なサラリーマンだ。	[sound:s8-1159_彼は日本の典型的なサラリーマンだ。.mp3] <br> かれはにほんのてんけいてきなさらりーまんだ。 <br> He is a typical Japanese salaryman.			
[sound:k8-1160_渓谷.mp3]	渓谷 <br> けいこく <br> valley, ravine, canyon
valley, ravine, canyon	渓谷 <br> けいこく <br> [sound:k8-1160_渓谷.mp3]
渓谷	[sound:k8-1160_渓谷.mp3] <br> けいこく <br> valley, ravine, canyon
[sound:s8-1160_彼はプラモデルを作るのが好きだ。.mp3]	<b>(模型)</b> <br> 彼はプラモデルを作るのが好きだ。<br> かれはぷらもでるをつくるのがすきだ。 <br> He likes making plastic models.			
<b>(模型)</b> <br> 彼はプラモデルを作るのが好きだ。	[sound:s8-1160_彼はプラモデルを作るのが好きだ。.mp3] <br> かれはぷらもでるをつくるのがすきだ。 <br> He likes making plastic models.			
[sound:k8-1161_峡谷.mp3]	峡谷 <br> きょうこく <br> glen, ravine, gorge, canyon
glen, ravine, gorge, canyon	峡谷 <br> きょうこく <br> [sound:k8-1161_峡谷.mp3]
峡谷	[sound:k8-1161_峡谷.mp3] <br> きょうこく <br> glen, ravine, gorge, canyon
[sound:s8-1161_これは典型的な日本の家庭料理です。.mp3]	<b>(典型的)</b> <br> これは典型的な日本の家庭料理です。<br> これはてんけいてきなにほんのかていりょうりです。 <br> This is a typical Japanese home-cooked meal.			
<b>(典型的)</b> <br> これは典型的な日本の家庭料理です。	[sound:s8-1161_これは典型的な日本の家庭料理です。.mp3] <br> これはてんけいてきなにほんのかていりょうりです。 <br> This is a typical Japanese home-cooked meal.			
[sound:k8-1162_谷底.mp3]	谷底 <br> たにそこ, たにぞこ <br> bottom of valley or ravine
bottom of valley or ravine	谷底 <br> たにそこ, たにぞこ <br> [sound:k8-1162_谷底.mp3]
谷底	[sound:k8-1162_谷底.mp3] <br> たにそこ, たにぞこ <br> bottom of valley or ravine
[sound:s8-1162_そのトラックは中型車です。.mp3]	<b>(中型)</b> <br> そのトラックは中型車です。<br> そのとらっくはちゅうがたしゃです。 <br> The truck is a medium-sized vehicle.			
<b>(中型)</b> <br> そのトラックは中型車です。	[sound:s8-1162_そのトラックは中型車です。.mp3] <br> そのとらっくはちゅうがたしゃです。 <br> The truck is a medium-sized vehicle.			
[sound:k8-1163_谷地.mp3]	谷地 <br> やち <br> marsh land, swamp
marsh land, swamp	谷地 <br> やち <br> [sound:k8-1163_谷地.mp3]
谷地	[sound:k8-1163_谷地.mp3] <br> やち <br> marsh land, swamp
[sound:s8-1163_この小説は後の小説の原型となった。.mp3]	<b>(原型)</b> <br> この小説は後の小説の原型となった。<br> このしょうせつはあとのしょうせつのげんけいとなった。 <br> This novel became the prototype for later novels.			
<b>(原型)</b> <br> この小説は後の小説の原型となった。	[sound:s8-1163_この小説は後の小説の原型となった。.mp3] <br> このしょうせつはあとのしょうせつのげんけいとなった。 <br> This novel became the prototype for later novels.			
[sound:k8-1164_谷あい.mp3]	谷あい <br> たにま, たにあい <br> valley, ravine, chasm, dell; cleavage
valley, ravine, chasm, dell; cleavage	谷あい <br> たにま, たにあい <br> [sound:k8-1164_谷あい.mp3]
谷あい	[sound:k8-1164_谷あい.mp3] <br> たにま, たにあい <br> valley, ravine, chasm, dell; cleavage
[sound:s8-1164_血液型が合わないと輸血できない。.mp3]	<b>(血液型)</b> <br> 血液型が合わないと輸血できない。<br> けつえきがたがあわないとゆけつできない。 <br> You can't transfuse blood if the blood types don't match.			
<b>(血液型)</b> <br> 血液型が合わないと輸血できない。	[sound:s8-1164_血液型が合わないと輸血できない。.mp3] <br> けつえきがたがあわないとゆけつできない。 <br> You can't transfuse blood if the blood types don't match.			
[sound:k8-1165_谿谷.mp3]	谿谷 <br> けいこく <br> valley, ravine, canyon
valley, ravine, canyon	谿谷 <br> けいこく <br> [sound:k8-1165_谿谷.mp3]
谿谷	[sound:k8-1165_谿谷.mp3] <br> けいこく <br> valley, ravine, canyon
[sound:s8-1165_彼は白いシャツを着ている。.mp3]	<b>(白)</b> <br> 彼は白いシャツを着ている。<br> かれはしろいしゃつをきている。 <br> He is wearing a white shirt.			
<b>(白)</b> <br> 彼は白いシャツを着ている。	[sound:s8-1165_彼は白いシャツを着ている。.mp3] <br> かれはしろいしゃつをきている。 <br> He is wearing a white shirt.			
[sound:k8-1166_千仭の谷.mp3]	千仭の谷 <br> せんじんのたに <br> bottomless ravine
bottomless ravine	千仭の谷 <br> せんじんのたに <br> [sound:k8-1166_千仭の谷.mp3]
千仭の谷	[sound:k8-1166_千仭の谷.mp3] <br> せんじんのたに <br> bottomless ravine
[sound:s8-1166_彼女は白い歯を持っている。.mp3]	<b>(白)</b> <br> 彼女は白い歯を持っている。<br> かのじょはしろいはをもっている。 <br> She has white teeth.			
