[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
[sound:k8-5976_遺体.mp3]	遺体 <br> いたい <br> corpse, remains
corpse, remains	遺体 <br> いたい <br> [sound:k8-5976_遺体.mp3]
遺体	[sound:k8-5976_遺体.mp3] <br> いたい <br> corpse, remains
[sound:s8-5976_夢が成就しました。.mp3]	<b>(成就)</b> <br> 夢が成就しました。<br> ゆめがじょうじゅしました。 <br> My dream has come true.			
<b>(成就)</b> <br> 夢が成就しました。	[sound:s8-5976_夢が成就しました。.mp3] <br> ゆめがじょうじゅしました。 <br> My dream has come true.			
[sound:k8-5977_遺跡.mp3]	遺跡 <br> いせき <br> historic ruins (remains, relics)
historic ruins (remains, relics)	遺跡 <br> いせき <br> [sound:k8-5977_遺跡.mp3]
遺跡	[sound:k8-5977_遺跡.mp3] <br> いせき <br> historic ruins (remains, relics)
[sound:s8-5977_ゆめがじょうじゅしました。.mp3]	<b>(成就)</b> <br> ゆめがじょうじゅしました。<br> ゆめがじょうじゅしました。 <br> My dream has come true.			
<b>(成就)</b> <br> ゆめがじょうじゅしました。	[sound:s8-5977_ゆめがじょうじゅしました。.mp3] <br> ゆめがじょうじゅしました。 <br> My dream has come true.			
[sound:k8-5978_遺伝子.mp3]	遺伝子 <br> いでんし <br> gene, genetic
gene, genetic	遺伝子 <br> いでんし <br> [sound:k8-5978_遺伝子.mp3]
遺伝子	[sound:k8-5978_遺伝子.mp3] <br> いでんし <br> gene, genetic
[sound:s8-5978_迎えの人がまだ来ていません。.mp3]	<b>(迎)</b> <br> 迎えの人がまだ来ていません。<br> むかえのひとがまだきていません。 <br> The person we're expecting hasn't arrived yet.			
<b>(迎)</b> <br> 迎えの人がまだ来ていません。	[sound:s8-5978_迎えの人がまだ来ていません。.mp3] <br> むかえのひとがまだきていません。 <br> The person we're expecting hasn't arrived yet.			
[sound:k8-5979_遺憾.mp3]	遺憾 <br> いかん <br> regrettable, unsatisfactory
regrettable, unsatisfactory	遺憾 <br> いかん <br> [sound:k8-5979_遺憾.mp3]
遺憾	[sound:k8-5979_遺憾.mp3] <br> いかん <br> regrettable, unsatisfactory
[sound:s8-5979_新入生を歓迎する会があります。.mp3]	<b>(歓迎)</b> <br> 新入生を歓迎する会があります。<br> しんにゅうせいをかんげいするかいがあります。 <br> There is a welcome party for new students.			
<b>(歓迎)</b> <br> 新入生を歓迎する会があります。	[sound:s8-5979_新入生を歓迎する会があります。.mp3] <br> しんにゅうせいをかんげいするかいがあります。 <br> There is a welcome party for new students.			
[sound:k8-5980_遺産.mp3]	遺産 <br> いさん <br> inheritance, bequest, legacy, heritage
inheritance, bequest, legacy, heritage	遺産 <br> いさん <br> [sound:k8-5980_遺産.mp3]
遺産	[sound:k8-5980_遺産.mp3] <br> いさん <br> inheritance, bequest, legacy, heritage
[sound:s8-5980_彼女を駅まで迎えに行きます。.mp3]	<b>(迎え)</b> <br> 彼女を駅まで迎えに行きます。<br> かのじょをえきまでむかえにいきます。 <br> I'll go to meet her at the station.			
<b>(迎え)</b> <br> 彼女を駅まで迎えに行きます。	[sound:s8-5980_彼女を駅まで迎えに行きます。.mp3] <br> かのじょをえきまでむかえにいきます。 <br> I'll go to meet her at the station.			
[sound:k8-5981_遺骨.mp3]	遺骨 <br> いこつ <br> remains, ashes of deceased
remains, ashes of deceased	遺骨 <br> いこつ <br> [sound:k8-5981_遺骨.mp3]
遺骨	[sound:k8-5981_遺骨.mp3] <br> いこつ <br> remains, ashes of deceased
[sound:s8-5981_迎賓館で大統領をお迎えする予定です。.mp3]	<b>(迎賓館)</b> <br> 迎賓館で大統領をお迎えする予定です。<br> げいひんかんでだいとうりょうをおむかえするよていです。 <br> We're planning to welcome the president at the guesthouse.			
<b>(迎賓館)</b> <br> 迎賓館で大統領をお迎えする予定です。	[sound:s8-5981_迎賓館で大統領をお迎えする予定です。.mp3] <br> げいひんかんでだいとうりょうをおむかえするよていです。 <br> We're planning to welcome the president at the guesthouse.			
[sound:k8-5982_後遺症.mp3]	後遺症 <br> こういしょう <br> prognostic symptoms, after-effect
prognostic symptoms, after-effect	後遺症 <br> こういしょう <br> [sound:k8-5982_後遺症.mp3]
後遺症	[sound:k8-5982_後遺症.mp3] <br> こういしょう <br> prognostic symptoms, after-effect
[sound:s8-5982_敵の攻撃を迎撃する必要があります。.mp3]	<b>(迎撃)</b> <br> 敵の攻撃を迎撃する必要があります。<br> てきのこうげきをげいげきするひつようがあります。 <br> We need to intercept the enemy's attack.			
<b>(迎撃)</b> <br> 敵の攻撃を迎撃する必要があります。	[sound:s8-5982_敵の攻撃を迎撃する必要があります。.mp3] <br> てきのこうげきをげいげきするひつようがあります。 <br> We need to intercept the enemy's attack.			
[sound:k8-5983_遺棄.mp3]	遺棄 <br> いき <br> abandonment, desertion, relinquishment
abandonment, desertion, relinquishment	遺棄 <br> いき <br> [sound:k8-5983_遺棄.mp3]
遺棄	[sound:k8-5983_遺棄.mp3] <br> いき <br> abandonment, desertion, relinquishment
[sound:s8-5983_友達を空港で出迎えました。.mp3]	<b>(出迎える)</b> <br> 友達を空港で出迎えました。<br> ともだちをくうこうででむかえました。 <br> I met my friend at the airport.			
<b>(出迎える)</b> <br> 友達を空港で出迎えました。	[sound:s8-5983_友達を空港で出迎えました。.mp3] <br> ともだちをくうこうででむかえました。 <br> I met my friend at the airport.			
[sound:k8-5984_遺伝.mp3]	遺伝 <br> いでん <br> heredity, inherent
heredity, inherent	遺伝 <br> いでん <br> [sound:k8-5984_遺伝.mp3]
遺伝	[sound:k8-5984_遺伝.mp3] <br> いでん <br> heredity, inherent
[sound:s8-5984_新しい挑戦を迎える準備ができています。.mp3]	<b>(迎える)</b> <br> 新しい挑戦を迎える準備ができています。<br> あたらしいちょうせんをむかえるじゅんびができています。 <br> I am ready to embrace a new challenge.			
<b>(迎える)</b> <br> 新しい挑戦を迎える準備ができています。	[sound:s8-5984_新しい挑戦を迎える準備ができています。.mp3] <br> あたらしいちょうせんをむかえるじゅんびができています。 <br> I am ready to embrace a new challenge.			
[sound:k8-5985_彼.mp3]	彼 <br> (kun: かれ, かの, か.の; on: ヒ) <br> he, that, the
he, that, the	彼 <br> (kun: かれ, かの, か.の; on: ヒ) <br> [sound:k8-5985_彼.mp3]
彼	[sound:k8-5985_彼.mp3] <br> (kun: かれ, かの, か.の; on: ヒ) <br> he, that, the
[sound:s8-5985_結婚式でゲストを出迎えました。.mp3]	<b>(出迎え)</b> <br> 結婚式でゲストを出迎えました。<br> けっこんしきでげすとをでむかえました。 <br> We welcomed the guests at the wedding ceremony.			
<b>(出迎え)</b> <br> 結婚式でゲストを出迎えました。	[sound:s8-5985_結婚式でゲストを出迎えました。.mp3] <br> けっこんしきでげすとをでむかえました。 <br> We welcomed the guests at the wedding ceremony.			
[sound:k8-5986_彼ら.mp3]	彼ら <br> かれら <br> they (usually male), them
they (usually male), them	彼ら <br> かれら <br> [sound:k8-5986_彼ら.mp3]
彼ら	[sound:k8-5986_彼ら.mp3] <br> かれら <br> they (usually male), them
[sound:s8-5986_空港まで送迎バスが出ています。.mp3]	<b>(送迎)</b> <br> 空港まで送迎バスが出ています。<br> くうこうまでそうげいばすがでています。 <br> There is a shuttle bus to the airport.			
<b>(送迎)</b> <br> 空港まで送迎バスが出ています。	[sound:s8-5986_空港まで送迎バスが出ています。.mp3] <br> くうこうまでそうげいばすがでています。 <br> There is a shuttle bus to the airport.			
[sound:k8-5987_彼女.mp3]	彼女 <br> かのじょ <br> she, her; girl friend, girlfriend, sweetheart
she, her; girl friend, girlfriend, sweetheart	彼女 <br> かのじょ <br> [sound:k8-5987_彼女.mp3]
彼女	[sound:k8-5987_彼女.mp3] <br> かのじょ <br> she, her; girl friend, girlfriend, sweetheart
[sound:s8-5987_敵の攻撃を迎え撃つ準備ができています。.mp3]	<b>(迎え撃つ)</b> <br> 敵の攻撃を迎え撃つ準備ができています。<br> てきのこうげきをむかえうつじゅんびができています。 <br> We are prepared to counter the enemy's attack.			
<b>(迎え撃つ)</b> <br> 敵の攻撃を迎え撃つ準備ができています。	[sound:s8-5987_敵の攻撃を迎え撃つ準備ができています。.mp3] <br> てきのこうげきをむかえうつじゅんびができています。 <br> We are prepared to counter the enemy's attack.			
[sound:k8-5988_彼岸.mp3]	彼岸 <br> ひがん <br> equinoctial week (when Buddhist services are held); Buddhist services during the equinoctial week; nirvana
equinoctial week (when Buddhist services are held); Buddhist services during the equinoctial week; nirvana	彼岸 <br> ひがん <br> [sound:k8-5988_彼岸.mp3]
彼岸	[sound:k8-5988_彼岸.mp3] <br> ひがん <br> equinoctial week (when Buddhist services are held); Buddhist services during the equinoctial week; nirvana
[sound:s8-5988_新しいメンバーをチームに迎え入れました。.mp3]	<b>(迎え入れる)</b> <br> 新しいメンバーをチームに迎え入れました。<br> あたらしいめんばーをちーむにむかえいれました。 <br> We welcomed new members to the team.			
<b>(迎え入れる)</b> <br> 新しいメンバーをチームに迎え入れました。	[sound:s8-5988_新しいメンバーをチームに迎え入れました。.mp3] <br> あたらしいめんばーをちーむにむかえいれました。 <br> We welcomed new members to the team.			
[sound:k8-5989_彼方.mp3]	彼方 <br> かなた, あなた <br> beyond, across, the other side, the distance
beyond, across, the other side, the distance	彼方 <br> かなた, あなた <br> [sound:k8-5989_彼方.mp3]
彼方	[sound:k8-5989_彼方.mp3] <br> かなた, あなた <br> beyond, across, the other side, the distance
[sound:s8-5989_走りの練習をする時間があります。.mp3]	<b>(走)</b> <br> 走りの練習をする時間があります。<br> はしりのれんしゅうをするじかんがあります。 <br> There is time for running practice.			
<b>(走)</b> <br> 走りの練習をする時間があります。	[sound:s8-5989_走りの練習をする時間があります。.mp3] <br> はしりのれんしゅうをするじかんがあります。 <br> There is time for running practice.			
[sound:k8-5990_彼方.mp3]	彼方 <br> あちら, あっち, あち <br> that way (direction distant from both speaker and listener), over there, yonder; that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener); there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)
that way (direction distant from both speaker and listener), over there, yonder; that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener); there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)	彼方 <br> あちら, あっち, あち <br> [sound:k8-5990_彼方.mp3]
彼方	[sound:k8-5990_彼方.mp3] <br> あちら, あっち, あち <br> that way (direction distant from both speaker and listener), over there, yonder; that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener); there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)
