[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
[sound:s8-3954_彼はいつも新しいプロジェクトに仕掛けています。.mp3]	<b>(仕掛け)</b> <br> 彼はいつも新しいプロジェクトに仕掛けています。<br> かれはいつもあたらしいぷろじぇくとにしかけています。 <br> He is always initiating new projects.			
<b>(仕掛け)</b> <br> 彼はいつも新しいプロジェクトに仕掛けています。	[sound:s8-3954_彼はいつも新しいプロジェクトに仕掛けています。.mp3] <br> かれはいつもあたらしいぷろじぇくとにしかけています。 <br> He is always initiating new projects.			
[sound:k8-3955_美人.mp3]	美人 <br> びじん <br> beautiful person (woman)
beautiful person (woman)	美人 <br> びじん <br> [sound:k8-3955_美人.mp3]
美人	[sound:k8-3955_美人.mp3] <br> びじん <br> beautiful person (woman)
[sound:s8-3955_彼は市場で強力な仕手をかけました。.mp3]	<b>(仕手)</b> <br> 彼は市場で強力な仕手をかけました。<br> かれはしじょうできょうりょくなしてをかけました。 <br> He made a strong move in the market.			
<b>(仕手)</b> <br> 彼は市場で強力な仕手をかけました。	[sound:s8-3955_彼は市場で強力な仕手をかけました。.mp3] <br> かれはしじょうできょうりょくなしてをかけました。 <br> He made a strong move in the market.			
[sound:k8-3956_美容.mp3]	美容 <br> びよう <br> beauty of figure or form
beauty of figure or form	美容 <br> びよう <br> [sound:k8-3956_美容.mp3]
美容	[sound:k8-3956_美容.mp3] <br> びよう <br> beauty of figure or form
[sound:s8-3956_彼女は地元のコミュニティに奉仕しています。.mp3]	<b>(奉仕)</b> <br> 彼女は地元のコミュニティに奉仕しています。	かのじょはじもとのコミュニティにほうししています。 <br> She serves the local community. <br> 		
<b>(奉仕)</b> <br> 彼女は地元のコミュニティに奉仕しています。	[sound:s8-3956_彼女は地元のコミュニティに奉仕しています。.mp3] <br> かのじょはじもとのコミュニティにほうししています。 <br> She serves the local community.			
[sound:k8-3957_美女.mp3]	美女 <br> びじょ <br> beautiful woman
beautiful woman	美女 <br> びじょ <br> [sound:k8-3957_美女.mp3]
美女	[sound:k8-3957_美女.mp3] <br> びじょ <br> beautiful woman
[sound:s8-3957_この製品の仕様を教えてください。.mp3]	<b>(仕様)</b> <br> この製品の仕様を教えてください。<br> このせいひんのしようをおしえてください。 <br> Please tell me the specifications of this product.			
<b>(仕様)</b> <br> この製品の仕様を教えてください。	[sound:s8-3957_この製品の仕様を教えてください。.mp3] <br> このせいひんのしようをおしえてください。 <br> Please tell me the specifications of this product.			
[sound:k8-3958_美術展.mp3]	美術展 <br> びじゅつてん <br> art exhibition
art exhibition	美術展 <br> びじゅつてん <br> [sound:k8-3958_美術展.mp3]
美術展	[sound:k8-3958_美術展.mp3] <br> びじゅつてん <br> art exhibition
[sound:s8-3958_彼は原料の仕入れを担当しています。.mp3]	<b>(仕入れ)</b> <br> 彼は原料の仕入れを担当しています。<br> かれはげんりょうのしいれをたんとうしています。 <br> He is in charge of purchasing raw materials.			
<b>(仕入れ)</b> <br> 彼は原料の仕入れを担当しています。	[sound:s8-3958_彼は原料の仕入れを担当しています。.mp3] <br> かれはげんりょうのしいれをたんとうしています。 <br> He is in charge of purchasing raw materials.			
[sound:k8-3959_美学.mp3]	美学 <br> びがく <br> esthetics, aesthetics
esthetics, aesthetics	美学 <br> びがく <br> [sound:k8-3959_美学.mp3]
美学	[sound:k8-3959_美学.mp3] <br> びがく <br> esthetics, aesthetics
[sound:s8-3959_そのプロジェクトは今仕上げ段階にあります。.mp3]	<b>(仕上げ)</b> <br> そのプロジェクトは今仕上げ段階にあります。<br> そのぷろじぇくとはいましあげだんかいにあります。 <br> The project is now in the finishing stage.			
<b>(仕上げ)</b> <br> そのプロジェクトは今仕上げ段階にあります。	[sound:s8-3959_そのプロジェクトは今仕上げ段階にあります。.mp3] <br> そのぷろじぇくとはいましあげだんかいにあります。 <br> The project is now in the finishing stage.			
[sound:k8-3960_優美.mp3]	優美 <br> ゆうび <br> grace, refinement, elegance, daintiness
grace, refinement, elegance, daintiness	優美 <br> ゆうび <br> [sound:k8-3960_優美.mp3]
優美	[sound:k8-3960_優美.mp3] <br> ゆうび <br> grace, refinement, elegance, daintiness
[sound:s8-3960_新しい製品の仕上がりが良いです。.mp3]	<b>(仕上がり)</b> <br> 新しい製品の仕上がりが良いです。<br> あたらしいせいひんのしあがりがよいです。 <br> The finish of the new product is good.			
<b>(仕上がり)</b> <br> 新しい製品の仕上がりが良いです。	[sound:s8-3960_新しい製品の仕上がりが良いです。.mp3] <br> あたらしいせいひんのしあがりがよいです。 <br> The finish of the new product is good.			
[sound:k8-3961_岡.mp3]	岡 <br> (kun: おか; on: コウ) <br> mount, hill, knoll
mount, hill, knoll	岡 <br> (kun: おか; on: コウ) <br> [sound:k8-3961_岡.mp3]
岡	[sound:k8-3961_岡.mp3] <br> (kun: おか; on: コウ) <br> mount, hill, knoll
[sound:s8-3961_彼は去年、その地域に引っ越しました。.mp3]	<b>(去)</b> <br> 彼は去年、その地域に引っ越しました。<br> かれはきょねん、そのちいきにひっこしました。 <br> He moved to the area last year.			
<b>(去)</b> <br> 彼は去年、その地域に引っ越しました。	[sound:s8-3961_彼は去年、その地域に引っ越しました。.mp3] <br> かれはきょねん、そのちいきにひっこしました。 <br> He moved to the area last year.			
[sound:k8-3962_岡.mp3]	岡 <br> おか <br> hill, height, knoll, rising ground
hill, height, knoll, rising ground	岡 <br> おか <br> [sound:k8-3962_岡.mp3]
岡	[sound:k8-3962_岡.mp3] <br> おか <br> hill, height, knoll, rising ground
[sound:s8-3962_過去の失敗から学ぶべきです。.mp3]	<b>(過去)</b> <br> 過去の失敗から学ぶべきです。<br> かこのしっぱいからまなぶべきです。 <br> We should learn from past failures.			
<b>(過去)</b> <br> 過去の失敗から学ぶべきです。	[sound:s8-3962_過去の失敗から学ぶべきです。.mp3] <br> かこのしっぱいからまなぶべきです。 <br> We should learn from past failures.			
[sound:k8-3963_岡山県.mp3]	岡山県 <br> おかやまけん <br> Okayama prefecture (Chuugoku area)
Okayama prefecture (Chuugoku area)	岡山県 <br> おかやまけん <br> [sound:k8-3963_岡山県.mp3]
岡山県	[sound:k8-3963_岡山県.mp3] <br> おかやまけん <br> Okayama prefecture (Chuugoku area)
[sound:s8-3963_昨日、有名な俳優が死去しました。.mp3]	<b>(死去)</b> <br> 昨日、有名な俳優が死去しました。<br> きのう、ゆうめいなはいゆうがしきょしました。 <br> A famous actor passed away yesterday.			
<b>(死去)</b> <br> 昨日、有名な俳優が死去しました。	[sound:s8-3963_昨日、有名な俳優が死去しました。.mp3] <br> きのう、ゆうめいなはいゆうがしきょしました。 <br> A famous actor passed away yesterday.			
[sound:k8-3964_岡持ち.mp3]	岡持ち <br> おかもち <br> wooden carrying box
wooden carrying box	岡持ち <br> おかもち <br> [sound:k8-3964_岡持ち.mp3]
岡持ち	[sound:k8-3964_岡持ち.mp3] <br> おかもち <br> wooden carrying box
[sound:s8-3964_この建物は撤去される予定です。.mp3]	<b>(撤去)</b> <br> この建物は撤去される予定です。<br> このたてものはてっきょされるよていです。 <br> This building is scheduled for demolition.			
<b>(撤去)</b> <br> この建物は撤去される予定です。	[sound:s8-3964_この建物は撤去される予定です。.mp3] <br> このたてものはてっきょされるよていです。 <br> This building is scheduled for demolition.			
[sound:k8-3965_岡焼き.mp3]	岡焼き <br> おかやき <br> jealousy, envy
jealousy, envy	岡焼き <br> おかやき <br> [sound:k8-3965_岡焼き.mp3]
岡焼き	[sound:k8-3965_岡焼き.mp3] <br> おかやき <br> jealousy, envy
[sound:s8-3965_そのゴミを除去するのに時間がかかりました。.mp3]	<b>(除去)</b> <br> そのゴミを除去するのに時間がかかりました。<br> そのゴミをじょきょするのにじかんがかかりました。 <br> It took time to remove the garbage.			
<b>(除去)</b> <br> そのゴミを除去するのに時間がかかりました。	[sound:s8-3965_そのゴミを除去するのに時間がかかりました。.mp3] <br> そのゴミをじょきょするのにじかんがかかりました。 <br> It took time to remove the garbage.			
[sound:k8-3966_岡場所.mp3]	岡場所 <br> おかばしょ <br> red-light district
red-light district	岡場所 <br> おかばしょ <br> [sound:k8-3966_岡場所.mp3]
岡場所	[sound:k8-3966_岡場所.mp3] <br> おかばしょ <br> red-light district
[sound:s8-3966_去年、私は日本を訪れました。.mp3]	<b>(去年)</b> <br> 去年、私は日本を訪れました。<br> きょねん、わたしはにほんをおとずれました。 <br> Last year, I visited Japan.			
<b>(去年)</b> <br> 去年、私は日本を訪れました。	[sound:s8-3966_去年、私は日本を訪れました。.mp3] <br> きょねん、わたしはにほんをおとずれました。 <br> Last year, I visited Japan.			
[sound:k8-3967_岡湯.mp3]	岡湯 <br> おかゆ <br> tank of clean water (in a bath house)
tank of clean water (in a bath house)	岡湯 <br> おかゆ <br> [sound:k8-3967_岡湯.mp3]
岡湯	[sound:k8-3967_岡湯.mp3] <br> おかゆ <br> tank of clean water (in a bath house)
[sound:s8-3967_彼はアパートを退去しました。.mp3]	<b>(退去)</b> <br> 彼はアパートを退去しました。<br> かれはアパートをたいきょしました。 <br> He moved out of the apartment.			
<b>(退去)</b> <br> 彼はアパートを退去しました。	[sound:s8-3967_彼はアパートを退去しました。.mp3] <br> かれはアパートをたいきょしました。 <br> He moved out of the apartment.			
[sound:k8-3968_岡目.mp3]	岡目 <br> おかめ <br> onlooker, bystander
onlooker, bystander	岡目 <br> おかめ <br> [sound:k8-3968_岡目.mp3]
岡目	[sound:k8-3968_岡目.mp3] <br> おかめ <br> onlooker, bystander
[sound:s8-3968_彼は私を置き去りにして逃げました。.mp3]	<b>(置き去り)</b> <br> 彼は私を置き去りにして逃げました。<br> かれはわたしをおきざりにしてにげました。 <br> He left me behind and ran away.			
<b>(置き去り)</b> <br> 彼は私を置き去りにして逃げました。	[sound:s8-3968_彼は私を置き去りにして逃げました。.mp3] <br> かれはわたしをおきざりにしてにげました。 <br> He left me behind and ran away.			
[sound:k8-3969_静岡県.mp3]	静岡県 <br> しずおかけん <br> Shizuoka prefecture (Chuubu area)
Shizuoka prefecture (Chuubu area)	静岡県 <br> しずおかけん <br> [sound:k8-3969_静岡県.mp3]
静岡県	[sound:k8-3969_静岡県.mp3] <br> しずおかけん <br> Shizuoka prefecture (Chuubu area)
[sound:s8-3969_彼の去就はまだわかりません。.mp3]	<b>(去就)</b> <br> 彼の去就はまだわかりません。<br> かれのきょしゅうはまだわかりません。 <br> His whereabouts are still unknown.			
<b>(去就)</b> <br> 彼の去就はまだわかりません。	[sound:s8-3969_彼の去就はまだわかりません。.mp3] <br> かれのきょしゅうはまだわかりません。 <br> His whereabouts are still unknown.			
[sound:k8-3970_福岡県.mp3]	福岡県 <br> ふくおかけん <br> Fukuoka prefecture (Kyuushuu)
Fukuoka prefecture (Kyuushuu)	福岡県 <br> ふくおかけん <br> [sound:k8-3970_福岡県.mp3]
福岡県	[sound:k8-3970_福岡県.mp3] <br> ふくおかけん <br> Fukuoka prefecture (Kyuushuu)
[sound:s8-3970_彼は先月会社を去りました。.mp3]	<b>(去る)</b> <br> 彼は先月会社を去りました。<br> かれはせんげつかいしゃをさりました。 <br> He left the company last month.			
<b>(去る)</b> <br> 彼は先月会社を去りました。	[sound:s8-3970_彼は先月会社を去りました。.mp3] <br> かれはせんげつかいしゃをさりました。 <br> He left the company last month.			
[sound:k8-3971_岡引.mp3]	岡引 <br> おかっぴき, おかひき <br> detective, plain-clothesman
